Tecnica,# de características seleccionadas,Eficiencia(%),Error de validación,IC(std),Tiempo de ejecución
MLP sin Selección,23,93.11180596916154,0.06888194030838463,0.027041804478908832,62.4294958114624 s
MLP + SFS,15,95.41711421410669,0.03366351818966165,0.010061992419702763,10193.092422962189 s
MLP + SFS,20,96.16899391335481,0.03232106822520894,0.006799188005530789,11881.598116636276 s
